c,clean_acc,ptb_acc,inv_acc,clean_loss,ptb_loss,inv_loss,inv_success_rate
255,0.9200000166893005,0.46000000834465027,0.23000000417232513,0.5018360018730164,1.6065645217895508,27.617015838623047,0.77
260,0.9300000071525574,0.23000000417232513,0.18000000715255737,0.5079301595687866,2.0741357803344727,33.99705123901367,0.82
265,0.9100000262260437,0.28999999165534973,0.20999999344348907,0.5395002365112305,1.990332007408142,22.957475662231445,0.79
270,0.9200000166893005,0.25,0.1599999964237213,0.44310706853866577,1.9703625440597534,34.699241638183594,0.84
275,0.8999999761581421,0.20000000298023224,0.23000000417232513,0.43922147154808044,2.1174590587615967,48.08216857910156,0.77
280,0.9100000262260437,0.38999998569488525,0.28999999165534973,0.6062905788421631,1.7643911838531494,18.725664138793945,0.71
285,0.8899999856948853,0.3700000047683716,0.23999999463558197,0.5117124319076538,1.8003963232040405,29.31574249267578,0.76
290,0.949999988079071,0.5299999713897705,0.25,0.5836186408996582,1.5754480361938477,27.273536682128906,0.75
295,0.8399999737739563,0.18000000715255737,0.23999999463558197,0.6923338174819946,2.1308116912841797,30.06359100341797,0.76
300,0.9200000166893005,0.41999998688697815,0.25999999046325684,0.5444033145904541,1.6467469930648804,29.317392349243164,0.74
305,0.9200000166893005,0.3199999928474426,0.20000000298023224,0.5902272462844849,1.9586477279663086,24.264612197875977,0.8
310,0.9100000262260437,0.3499999940395355,0.23999999463558197,0.658763587474823,1.9220569133758545,18.74633026123047,0.76
315,0.9200000166893005,0.3700000047683716,0.2800000011920929,0.5176210999488831,1.8394452333450317,27.953903198242188,0.72
320,0.9100000262260437,0.17000000178813934,0.25999999046325684,0.5994728803634644,2.1318044662475586,22.856834411621094,0.74
325,0.9100000262260437,0.11999999731779099,0.20000000298023224,0.6674196720123291,2.314329147338867,19.3349666595459,0.8
330,0.9399999976158142,0.23999999463558197,0.20999999344348907,0.5282503962516785,2.1764938831329346,25.979318618774414,0.79
335,0.9100000262260437,0.18000000715255737,0.25999999046325684,0.4853561818599701,2.20686936378479,60.93885803222656,0.74
340,0.8999999761581421,0.12999999523162842,0.2199999988079071,0.6274403929710388,2.2228739261627197,18.669513702392578,0.78
345,0.9800000190734863,0.28999999165534973,0.23999999463558197,0.5191494226455688,1.9956599473953247,19.323383331298828,0.76
350,0.9700000286102295,0.6100000143051147,0.23000000417232513,0.6023929119110107,1.4570014476776123,20.557048797607422,0.77
355,0.9100000262260437,0.15000000596046448,0.20000000298023224,0.5606135725975037,2.244203805923462,27.712509155273438,0.8
360,0.9100000262260437,0.3499999940395355,0.1899999976158142,0.6582505106925964,1.9848004579544067,21.37323760986328,0.81
365,0.9300000071525574,0.20999999344348907,0.28999999165534973,0.6699908971786499,2.1100614070892334,24.46490478515625,0.71
370,0.9300000071525574,0.20000000298023224,0.2199999988079071,0.6197383999824524,2.0791027545928955,33.49931335449219,0.78
375,0.9200000166893005,0.3799999952316284,0.27000001072883606,0.6699380278587341,1.7334574460983276,26.725788116455078,0.73
380,0.8999999761581421,0.15000000596046448,0.20000000298023224,0.6829251050949097,2.208778142929077,24.483421325683594,0.8
385,0.8799999952316284,0.15000000596046448,0.1899999976158142,0.701252281665802,2.134525775909424,19.894094467163086,0.81
390,0.9100000262260437,0.14000000059604645,0.28999999165534973,0.6996102929115295,2.1903786659240723,21.582468032836914,0.71
395,0.9599999785423279,0.11999999731779099,0.3199999928474426,0.6403831243515015,2.2378036975860596,14.542628288269043,0.68
400,0.8899999856948853,0.10000000149011612,0.17000000178813934,0.6960262060165405,2.2946252822875977,23.135549545288086,0.83
405,0.9300000071525574,0.4300000071525574,0.2800000011920929,0.6838257312774658,1.8628191947937012,27.638160705566406,0.72
410,0.8999999761581421,0.1599999964237213,0.23999999463558197,0.7249966263771057,2.1320576667785645,18.708967208862305,0.76
415,0.9300000071525574,0.09000000357627869,0.23000000417232513,0.653103232383728,2.3362319469451904,21.388755798339844,0.77
420,0.949999988079071,0.009999999776482582,0.20999999344348907,0.491836816072464,2.415814161300659,37.505821228027344,0.79
425,0.8899999856948853,0.25,0.23999999463558197,0.6328736543655396,2.1479711532592773,24.975238800048828,0.76
430,0.9200000166893005,0.10000000149011612,0.23000000417232513,0.7281756401062012,2.415642499923706,18.122194290161133,0.77
435,0.8999999761581421,0.27000001072883606,0.2800000011920929,0.6762638092041016,2.0879318714141846,19.497821807861328,0.72
440,0.9100000262260437,0.2199999988079071,0.20999999344348907,0.7481393218040466,2.0675253868103027,18.767438888549805,0.79
445,0.9599999785423279,0.1599999964237213,0.14000000059604645,0.665544867515564,2.0835089683532715,21.322614669799805,0.86
450,0.949999988079071,0.1599999964237213,0.3100000023841858,0.6644951701164246,2.192843198776245,22.448884963989258,0.69
455,0.9200000166893005,0.03999999910593033,0.1599999964237213,0.7568985223770142,2.402708053588867,18.873594284057617,0.84
460,0.9399999976158142,0.25999999046325684,0.27000001072883606,0.8078954815864563,2.1549627780914307,17.97440528869629,0.73
465,0.9399999976158142,0.05999999865889549,0.25,0.7623764276504517,2.399782419204712,14.323949813842773,0.75
470,0.8899999856948853,0.14000000059604645,0.23000000417232513,0.824863612651825,2.2640624046325684,20.799480438232422,0.77
475,0.9300000071525574,0.07000000029802322,0.25,0.6422226428985596,2.3590970039367676,19.283706665039062,0.75
